THEO DÕI DOANH THU P.TMĐT 2026,,,,,,,,,,,,,,,,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
5,Honda - Cosmos EW,Thực hiện,,,,,,,,,,,,,0,,
,,Về Ban (50%),,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,
III,THƯ,,,,,,,,,,,,,,,Tổng KH DT,
1,Asahi - NPUV,Tổng NPUV ,"1,919,564,511","1,468,305,029","2,137,439,652","1,778,112,277","1,837,266,143","1,689,336,945","2,022,639,936",,,,,,"12,852,664,493",,"13,031,275,486"
,,Về Ban 50%,"959,782,256","734,152,515","1,068,719,826","889,056,139","918,633,072","844,668,473","1,011,319,968",0,0,0,0,0,"6,426,332,247",,
,,Kế hoạch về Ban,"800,000,000","800,000,000","1,100,000,000","1,200,000,000","1,200,000,000","1,200,000,000","1,200,000,000","1,200,000,000","1,300,000,000","1,300,000,000","1,300,000,000","1,400,000,000","14,000,000,000","28,000,000,000",
,,Tỷ lệ hoàn thành,119.97%,91.77%,97.16%,74.09%,76.55%,70.39%,84.28%,0.00%,0.00%,0.00%,0.00%,0.00%,45.90%,,
,,Bồi thường NPUV,33.60%,1.60%,43.30%,20.40%,28.60%,15.00%,,,,,,,25.21%,,
,Asahi - APUV,Tổng APUV,"31,548,012","22,639,976","22,745,154","25,527,519","20,065,596","27,235,987","28,848,749",,,,,,"178,610,993",,
,,Về Ban 50%,"15,774,006","11,319,988","11,372,577","12,763,760","10,032,798","13,617,994","14,424,375",,,,,,"89,305,497",,
,,Kế hoạch về Ban,"50,000,000","50,000,000","50,000,000","50,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","1,000,000,000","2,000,000,000",
,,Tỷ lệ hoàn thành ,31.55%,22.64%,22.75%,25.53%,10.03%,13.62%,14.42%,0.00%,0.00%,0.00%,0.00%,0.00%,8.93%,,
,Tổng DT dự án,,"1,951,112,523","1,490,945,005","2,160,184,806","1,803,639,796","1,857,331,739","1,716,572,932","2,051,488,685",0,0,0,0,0,"13,031,275,486",,
2,MobiFone,Doanh thu,"2,952,500","2,450,000","8,042,182","4,529,400","3,034,400","810,700","2,803,000",,,,,,"24,622,182",,
,,Về Ban 50%,"1,476,250","1,225,000","4,021,091","2,264,700","1,517,200","405,350","1,401,500",0,0,0,0,0,"12,311,091",,
,,Kế hoạch về Ban,"100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","100,000,000","200,000,000","200,000,000","400,000,000","400,000,000","2,000,000,000","4,000,000,000",
,,Tỷ lệ hoàn thành,1.48%,1.23%,4.02%,2.26%,1.52%,0.41%,1.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.62%,,
3,NNX,Tổng doanh thu,"2,164,200,000","2,163,199,452","2,616,800,000","2,450,400,000","1,981,400,000","1,941,800,000","2,174,800,000",,,,,,"11,375,999,452","1,114,400,000",
,,Về Ban 50%,"1,082,100,000","1,081,599,726","1,308,400,000","1,225,200,000","990,700,000","970,900,000","1,087,400,000",,,,,,"7,746,299,726",,
,,KH về Ban,"1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000","12,000,000,000",,
,,KH về Ban (Ban đầu),"200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","200,000,000","2,400,000,000","4,800,000,000",
,,Tỷ lệ hoàn thành,108.21%,108.16%,130.84%,122.52%,99.07%,97.09%,108.74%,0.00%,0.00%,0.00%,0.00%,0.00%,322.76%,,
4,Viettel Money,Thực hiện,,,"4,817,500",,,,,,,,,,"4,817,500",,
,,Về Ban,0,0,2408750,0,0,0,0,0,0,0,0,0,"2,408,750",,
,,Kế hoạch về Ban,"10,000,000","10,000,000","10,000,000","10,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","20,000,000","200,000,000","400,000,000",
,,Tỷ lệ hoàn thành,,,,,,,,,,,,,1.20%,,
4,Zalopay,Thực hiện,"1,702,800","3,385,800","2,686,200","12,525,700","57,572,900","60,325,100","10,916,400",,,,,,"149,114,900",,
,,Về Ban,"851,400","1,692,900","1,343,100","6,262,850","28,786,450","30,162,550","5,458,200",0,0,0,0,0,"74,557,450",,
,,Kế hoạch về Ban,,,,,,,,,,,,,,,
,,Tỷ lệ hoàn thành,,,,,,,,,,,,,,,
5,Khác,Thực hiện,,,,,,,,,,,,,,,
,,Về Ban (50%),,,,,,,,,,,,,,,
IV,TÙNG,,,,,,,,,,,,,,,,
1,Viettel Store + VTM,Thực hiện,,,,,,,,,,,,,0,,
,,"Về Ban (VST 40%, VTM 50%)",,,,,,,,,,,,,0,, 
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,,
2,Lozi,Thực hiện,,,,,,,,,,,,,0,,
,,Về Ban,,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,,
3,Momo,Thực hiện,,,,,,,,,,,,,0,,
,,Về Ban (50%),,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,,
4,"VETC, Epass",Thực hiện,,,,,,,,,,,,,0,,
,,Về Ban,,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,,
V,CÁC DỰ ÁN KHÁC,,,,,,,,,,,,,,,,
1,Dịch vụ mới (không tên),Thực hiện,,,,,,,,,,,,,0,,
,,Về Ban,,,,,,,,,,,,,0,,
,,Kế hoạch về Ban,,,,,,,,,,,,,0,,
,,Tỷ lệ hoàn thành,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,#DIV/0!,,
